Player Name,Credits,Player Type,Team,Innings,Runs,Balls Faced,Fours,Sixes,Batting Average,Strike Rate,Boundary_Percentage,Innings_X,Balls Bowled,Runs_Conceded,Wickets,Bowling  Average,Economy Rate,Bowling  Strike_rate,Dream11_Avg,Dream_11 rounds_Avg,Dream_11_2024_avg,Weighted_Score
Ruturaj Gaikwad,9,Batter,Chennai Super Kings,65,2380,1739,217,91,41.75,136.8602645,59.41176471,0,0,0,0,0,0,0,60.67692308,53.6,63.7,58.50230769
Ravindra Jadeja,8.5,All-rounder,Chennai Super Kings,184,2959,2281,215,107,27.4,129.7238053,50.76039202,211,3829,4864,160,30.4,7.62,23.93,45.40758294,50.28571,54.7,48.04416912
Matheesha Pathirana,8.5,Bowler,Chennai Super Kings,0,0,0,0,0,0,0,0,20,451,592,34,17.41,7.88,13.26,58.15,52.8,74.5,57.9125
Shivam Dube,8,Batter,Chennai Super Kings,61,1502,1024,86,101,30.04,146.6796875,63.24900133,14,112,180,5,36,9.64,22.4,42.81967213,50.71429,48,46.10082117
MS Dhoni,7,Batter/Wicketkeeper,Chennai Super Kings,229,5243,3812,363,252,39.13,137.5393494,56.53251955,0,0,0,0,0,0,0,36.49344978,53.85714,30.3,41.95139638
Devon Conway,8,Batter/Wicketkeeper,Chennai Super Kings,22,924,654,99,30,48.63,141.2844037,62.33766234,0,0,0,0,0,0,0,75,58,52,66.75
Rahul Tripathi,7.5,Batter,Chennai Super Kings,93,2236,1605,223,84,26.94,139.3146417,62.43291592,1,6,12,0,0,12,0,39.86021505,23,45,34.47311828
Rachin Ravindra,8,Batter,Chennai Super Kings,10,222,138,22,12,22.2,160.8695652,72.07207207,2,12,7,0,0,3.5,0,48.2,51.14286,57,50.110001
Ravichandran Ashwin,8,All-rounder,Chennai Super Kings,94,800,675,61,28,13.33,118.5185185,51.5,208,4524,5369,180,29.83,7.12,25.13,33.51923077,37.16667,38.5,35.29391142
Khaleel Ahmed,7.5,Bowler,Chennai Super Kings,5,1,7,0,0,0.2,14.28571429,0,57,1276,1881,74,25.42,8.84,17.24,41.56140351,59.28571,46,48.20877043
Noor Ahmad,7.5,Bowler,Chennai Super Kings,7,13,18,2,0,3.25,72.22222222,61.53846154,23,492,659,24,27.46,8.04,20.5,34.30434783,66.42857,52,47.3173908
Vijay Shankar,6.5,Batter,Chennai Super Kings,60,1115,859,80,45,25.34,129.8020955,52.91479821,22,238,344,9,38.22,8.67,26.44,33.21666667,44.2,24,36.13916667
Sam Curran,7.5,All-rounder,Chennai Super Kings,48,883,647,74,37,25.23,136.4760433,58.66364666,58,1181,1900,58,32.76,9.65,20.36,56.15517241,17,60,42.83534483
Shaik Rasheed,5,Batter,Chennai Super Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,24.5
Anshul Kamboj,6,Bowler,Chennai Super Kings,1,2,2,0,0,0,100,0,3,60,114,2,57,11.4,30,22,52,30,33.3
Mukesh Choudhary,6.5,Bowler,Chennai Super Kings,2,6,6,1,0,6,100,66.66666667,14,279,451,16,28.19,9.7,17.44,37.28571429,23,35,32.05714286
Deepak Hooda,7,Batter,Chennai Super Kings,96,1465,1131,96,61,18.31,129.5313882,51.19453925,33,373,531,10,53.1,8.54,37.3,26.40625,9.666667,28,20.70677095
Gurjapneet Singh,6,Bowler,Chennai Super Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan Ellis,7,Bowler,Chennai Super Kings,5,19,25,0,1,4.75,76,31.57894737,16,354,508,18,28.22,8.61,19.67,37.5625,43,40,39.709375
Ramakrishna Ghosh,5.5,All-rounder,Chennai Super Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kamlesh Nagarkoti,6,Bowler,Chennai Super Kings,7,22,33,1,0,5.5,66.66666667,18.18181818,11,180,285,5,57,9.5,36,16.90909091,0,0,9.3
Jamie Overton,6.5,All-rounder,Chennai Super Kings,8,50,47,3,1,8.33,106.3829787,36,8,136,186,11,16.91,8.21,12.36,61.875,10.5,35,41.20625
Shreyas Gopal,6.5,Bowler,Chennai Super Kings,22,180,169,19,2,12.86,106.5088757,48.88888889,51,991,1348,52,25.92,8.16,19.06,37.88235294,0,34,24.23529412
Vansh Bedi,5,Batter/Wicketkeeper,Chennai Super Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andre Siddharth,5.5,Batter,Chennai Super Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Axar Patel,9,Bowler,Delhi Capitals,113,1653,1263,107,79,21.47,130.8788599,54.56745312,148,3099,3758,123,30.55,7.28,25.2,43.85810811,56.28571,62,50.02195796
Kuldeep Yadav,8.5,Bowler,Delhi Capitals,33,183,216,16,3,15.25,84.72222222,44.80874317,82,1746,2388,87,27.45,8.21,20.07,37.18292683,69.71429,60,50.85061126
Tristan Stubbs,8,Batter,Delhi Capitals,17,405,233,26,26,36.82,173.8197425,64.19753086,3,24,29,4,7.25,7.25,6,56.94117647,59,58,57.76764706
Abishek Porel,6.5,Batter/Wicketkeeper,Delhi Capitals,16,360,236,37,15,25.71,152.5423729,66.11111111,0,0,0,0,0,0,0,42.0625,53.28571,42,45.9843735
Mitchell Starc,8.5,Bowler,Delhi Capitals,17,105,109,11,0,11.67,96.33027523,41.9047619,39,831,1137,51,22.29,8.21,16.29,45.66666667,65.57143,57,53.76666717
Lokesh Rahul,9,Batter/Wicketkeeper,Delhi Capitals,123,4683,3479,400,187,45.47,134.6076459,58.12513346,0,0,0,0,0,0,0,61.42276423,96.33333,65,73.99918583
Jake Fraser-McGurk,7.5,Batter,Delhi Capitals,9,330,141,32,28,36.67,234.0425532,89.6969697,0,0,0,0,0,0,0,89,26.28571,65,64.6499985
T Natarajan,7.5,Bowler,Delhi Capitals,4,3,5,0,0,0,60,0,61,1337,1969,67,29.39,8.84,19.96,35.19672131,0,52,24.55819672
Karun Nair,7,Batter,Delhi Capitals,68,1496,1171,161,39,23.75,127.7540564,58.68983957,0,0,0,0,0,0,0,36.01470588,82.33333,32,45
Faf du Plessis,8.5,Batter,Delhi Capitals,138,4571,3352,421,167,35.99,136.3663484,58.76175891,1,6,16,0,0,16,0,53.67391304,68.25,50,58.40815217
Mohit Sharma,7.5,Bowler,Delhi Capitals,31,124,133,8,4,7.29,93.23308271,45.16129032,111,2253,3256,132,24.67,8.67,17.07,39.67567568,18.28571,42,32.42162012
Ashutosh Sharma,7,Batter,Delhi Capitals,9,189,113,10,15,27,167.2566372,68.78306878,0,0,0,0,0,0,0,46.55555556,43.16667,45,45.21389006
Sameer Rizvi,6.5,Batter,Delhi Capitals,5,51,43,4,2,12.75,118.6046512,54.90196078,0,0,0,0,0,0,0,30.8,24,21,27.44
Mukesh Kumar,7,Bowler,Delhi Capitals,5,10,18,0,0,10,55.55555556,0,20,399,694,24,28.92,10.44,16.63,38.9,31.85714,50,37.544999
Darshan Nalkande,6.5,Bowler,Delhi Capitals,2,12,12,0,1,6,100,50,6,84,148,6,24.67,10.57,14,47.5,0,32,29.325
Vipraj Nigam,5,Bowler,Delhi Capitals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.42857,0,21.4999995
Dushmantha Chameera,7,Bowler,Delhi Capitals,8,43,28,3,3,10.75,153.5714286,69.76744186,13,282,432,9,48,9.19,31.33,27.76923077,0,15,16.77307692
Donovan Ferreira,7,Batter,Delhi Capitals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1.8
Ajay Mandal,6.5,All-rounder,Delhi Capitals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manvanth Kumar L,5.5,All-rounder,Delhi Capitals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhav Tiwari,5,All-rounder,Delhi Capitals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripurana Vijay,5.5,Bowler,Delhi Capitals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashid-Khan,9,Bowler,Gujarat Titans,60,545,337,39,38,14.73,161.7210682,70.4587156,121,2859,3252,149,21.83,6.82,19.19,47.2892562,44.42857,50,46.55909041
Shubman Gill,9,Batter,Gujarat Titans,100,3216,2370,310,95,37.84,135.6962025,56.28109453,0,0,0,0,0,0,0,51.76,76.85714,56,60.967999
Sai Sudharsan,8,Batter,Gujarat Titans,25,1034,743,95,31,47,139.1655451,54.73887814,0,0,0,0,0,0,0,70,109.2857,64,83.149995
Rahul Tewatia,7,All-rounder,Gujarat Titans,65,1013,752,84,47,25.33,134.7074468,61.00691017,52,843,1111,32,34.72,7.91,26.34,40.84615385,19.57143,34,32.71538512
Shahrukh Khan,7.5,Batter,Gujarat Titans,38,553,391,35,37,19.75,141.4322251,65.46112116,2,12,15,0,0,7.5,0,26.05263158,25.14286,32,26.32894837
Kagiso Rabada,8.5,Bowler,Gujarat Titans,31,206,193,16,8,12.12,106.7357513,54.36893204,80,1818,2570,117,21.97,8.48,15.54,50.775,50.25,48,50.31375
Jos Buttler,9,Batter/Wicketkeeper,Gujarat Titans,106,3582,2428,355,161,38.11,147.5288303,66.61083194,0,0,0,0,0,0,0,57.71698113,77.28571,58,64.59433812
Mohammed Siraj,8,Bowler,Gujarat Titans,25,109,119,10,4,10.9,91.59663866,58.71559633,93,1958,2822,93,30.34,8.65,21.05,33.86021505,69.42857,42,47.12311778
Prasidh Krishna,7.5,Bowler,Gujarat Titans,10,9,24,0,0,3,37.5,0,51,1145,1703,49,34.76,8.92,23.37,30.92156863,64,30,42.40686275
Nishant Sindhu,6,All-rounder,Gujarat Titans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahipal Lomror,6.5,Batter,Gujarat Titans,35,527,373,33,30,18.17,141.2868633,59.20303605,11,90,127,1,127,8.47,90,24.88571429,0,23,15.98714286
Kumar Kushagra,5.5,Wicketkeeper/Batter,Gujarat Titans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.6
Anuj Rawat,6.5,Wicketkeeper/Batter,Gujarat Titans,21,318,267,26,14,19.88,119.1011236,59.11949686,0,0,0,0,0,0,0,27.66666667,0,30,18.21666667
Manav Suthar,6,Bowler,Gujarat Titans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1.8
Washington Sundar,7,All-rounder,Gujarat Titans,40,378,325,32,9,14,116.3076923,48.14814815,58,1054,1325,37,35.81,7.54,28.49,30.06896552,72.66667,23,44.27126553
Gerald Coetzee,7,Bowler,Gujarat Titans,5,14,22,0,1,3.5,63.63636364,42.85714286,10,201,341,13,26.23,10.18,15.46,43.6,0,48,28.78
Arshad Khan,5.5,All-rounder,Gujarat Titans,7,101,69,6,6,25.25,146.3768116,59.40594059,10,146,304,6,50.67,12.49,24.33,35.3,36.75,39,36.1775
Gurnoor Brar Singh,5.5,Bowler,Gujarat Titans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sherfane Rutherford,7,Batter,Gujarat Titans,23,428,299,26,29,25.18,143.1438127,64.95327103,3,42,72,1,72,10.29,42,32.08695652,55.14286,40,40.94782709
Ravisrinivasan Sai Kishore,7,Bowler,Gujarat Titans,2,13,6,0,2,13,216.6666667,92.30769231,10,186,258,13,19.85,8.32,14.31,54.1,61.28571,48,56.0049985
Ishant Sharma,7.5,Bowler,Gujarat Titans,28,57,69,4,2,9.5,82.60869565,49.12280702,110,2309,3172,92,34.48,8.24,25.1,27.53636364,26.6,39,28.355
Jayant Yadav,6.5,Bowler,Gujarat Titans,5,40,36,2,1,10,111.1111111,35,20,390,445,8,55.63,6.85,48.75,15.5,0,0,8.525
Glenn Phillips,8,Batter,Gujarat Titans,74,1928,1372,138,91,31.1,140.5247813,56.95020747,13,128,157,6,26.17,7.36,21.33,43.48648649,0,42,28.11756757
Karim Janat,6,All-rounder,Gujarat Titans,48,691,596,49,28,17.72,115.9395973,52.67727931,49,835,1140,42,27.14,8.19,19.88,48.95918367,0,0,26.92755102
Kulwant Khejroliya,6,Bowler,Gujarat Titans,0,0,0,0,0,0,0,0,7,121,217,5,43.4,10.76,24.2,22.85714286,0,0,12.57142857
Rinku Singh,7.5,Batter,Kolkata Knight Riders,40,893,623,67,46,30.79,143.3386838,60.91825308,0,0,0,0,0,0,0,37.8,37.85714,40,38.039999
Varun Chakravarthy,9,Bowler,Kolkata Knight Riders,12,25,46,2,0,6.25,54.34782609,32,70,1588,2002,83,24.12,7.56,19.13,38.41428571,60.85714,56,48.02785614
Sunil Narine,9,All-rounder,Kolkata Knight Riders,110,1534,925,164,97,17.04,165.8378378,80.70404172,175,4075,4571,180,25.39,6.73,22.64,48.89714286,98.33333,82,69.51009407
Andre Russell,8.5,Batter,Kolkata Knight Riders,105,2484,1420,170,209,29.22,174.9295775,77.85829308,112,1697,2646,115,23.01,9.36,14.76,73.19642857,34.14286,40,56.20803671
Harshit Rana,8,Bowler,Kolkata Knight Riders,3,2,3,0,0,1,66.66666667,0,19,385,581,25,23.24,9.05,15.4,42.21052632,65.71429,46,50.81579097
Ramandeep Singh,7.5,All-rounder,Kolkata Knight Riders,13,170,102,8,13,28.33,166.6666667,64.70588235,4,40,63,6,10.5,9.45,6.67,44,16.28571,29,32.7999985
Venkatesh Iyer,8,Batter,Kolkata Knight Riders,49,1326,967,121,61,31.57,137.1251293,64.1025641,9,81,143,3,47.67,10.59,27,46.36734694,40.28571,46,44.20203932
Quinton de Kock,8,Wicketkeeper/Batter,Kolkata Knight Riders,107,3157,2352,316,123,31.26,134.2261905,63.41463415,0,0,0,0,0,0,0,48.91588785,46,48,47.80373832
Rahmanullah Gurbaz,7.5,Wicketkeeper/Batter,Kolkata Knight Riders,13,289,216,24,19,22.23,133.7962963,72.66435986,0,0,0,0,0,0,0,44.15384615,0,41,28.38461538
Anrich Nortje,8,Bowler,Kolkata Knight Riders,15,49,49,6,0,8.17,100,48.97959184,46,1054,1574,60,26.23,8.96,17.57,43.32608696,50,45,45.82934783
Angkrish Raghuvanshi,6.5,Batter,Kolkata Knight Riders,7,163,105,16,8,23.29,155.2380952,68.71165644,0,0,0,0,0,0,0,50,56.16667,42,51.3583345
Vaibhav Arora,6.5,Bowler,Kolkata Knight Riders,8,9,16,0,0,4.5,56.25,0,20,383,586,19,30.84,9.18,20.16,30.85,56.5,38,40.5425
Mayank Markande,6,Bowler,Kolkata Knight Riders,11,48,42,5,1,16,114.2857143,54.16666667,37,720,1069,37,28.89,8.91,19.46,34,0,30.4,21.74
Rovman Powell,7,Batter,Kolkata Knight Riders,22,360,244,21,28,18.95,147.5409836,70,2,18,35,1,35,11.67,18,29.27272727,0,32,19.3
Manish Pandey,7,Batter,Kolkata Knight Riders,159,3850,3179,334,110,29.17,121.1072664,51.84415584,0,0,0,0,0,0,0,37.23899371,39,38,37.93144654
Spencer Johnson,6.5,Bowler,Kolkata Knight Riders,3,6,7,1,0,0,85.71428571,66.66666667,5,96,151,4,37.75,9.44,24,27.6,18.25,38,25.3675
Luvnith Sisodia,5.5,Batter,Kolkata Knight Riders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajinkya Rahane,7.5,Batter,Kolkata Knight Riders,110,1534,925,164,97,17.04,165.8378378,80.70404172,175,4075,4571,180,25.39,6.73,22.64,48.89714286,69,46,55.64342857
Anukul Sudharkar Roy,6,All-rounder,Kolkata Knight Riders,6,26,24,3,0,8.67,108.3333333,46.15384615,9,136,191,5,38.2,8.43,27.2,22,0,16,13.7
Moeen Ali,7,All-rounder,Kolkata Knight Riders,57,1162,821,95,67,22.78,141.5347138,67.29776248,52,758,893,35,25.51,7.07,21.66,53.75438596,53,46,52.71491228
Umran Malik,6,Bowler,Kolkata Knight Riders,6,23,16,1,2,11.5,143.75,69.56521739,26,493,772,29,26.62,9.4,17,37.19230769,0,0,20.45576923
Nicholas Pooran,8.5,Wicketkeeper/Batter,Lucknow Super Giants,73,1769,1090,112,127,32.16,162.293578,68.40022612,0,0,0,0,0,0,0,42.17808219,114.7143,66,69.94795021
Ravi Bishnoi,8,Bowler,Lucknow Super Giants,15,32,50,2,0,4,64,25,65,1411,1836,63,29.14,7.81,22.4,31.63076923,46.14286,42,37.74692408
Mayank Yadav,7.5,Bowler,Lucknow Super Giants,0,0,0,0,0,0,0,0,4,73,85,7,12.14,6.99,10.43,74.75,70,0,65.6125
Mohsin Khan,7,Bowler,Lucknow Super Giants,5,25,24,2,1,8.33,104.1666667,56,23,486,689,27,25.52,8.51,18,39.26086957,0,0,21.59347826
Ayush Badoni,7,Batter,Lucknow Super Giants,35,634,473,46,24,24.38,134.038055,51.73501577,5,25,36,2,18,8.64,12.5,31.45714286,37.85714,31,33.65142757
Rishabh Pant,9,Wicketkeeper/Batter,Lucknow Super Giants,110,3284,2205,296,154,35.31,148.9342404,64.19001218,0,0,0,0,0,0,0,50.38181818,34.14286,50,44.660001
David Miller,8,Batter,Lucknow Super Giants,124,2924,2100,207,134,36.1,139.2380952,55.81395349,0,0,0,0,0,0,0,37.9516129,31,41,35.8233871
Mitchell Marsh,8,Batter,Lucknow Super Giants,36,665,521,48,38,19.56,127.6391555,63.15789474,34,560,795,37,21.49,8.52,15.14,63.02777778,99.83333,47,74.30694328
Aiden Markram,8,All-rounder,Lucknow Super Giants,42,995,767,73,35,30.15,129.726206,50.45226131,14,121,172,2,86,8.53,60.5,37.16666667,73.28571,36,49.69166517
Avesh Khan,8,Bowler,Lucknow Super Giants,10,41,25,3,3,20.5,164,73.17073171,62,1335,1974,74,26.68,8.87,18.04,39.74193548,33.33333,48,38.32473002
Abdul Samad,6.5,Batter,Lucknow Super Giants,40,577,395,37,36,19.23,146.0759494,63.08492201,5,54,113,2,56.5,12.56,27,25.125,33.66667,29,28.5020845
Aryan Juyal,5.5,Wicketkeeper/Batter,Lucknow Super Giants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akash Deep,7,Bowler,Lucknow Super Giants,3,19,12,2,1,9.5,158.3333333,73.68421053,8,164,319,7,45.57,11.67,23.43,32.125,27.25,38,31.00625
Himmat Singh,5.5,Batter,Lucknow Super Giants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1.4
Manimaran Siddharth,6,Bowler,Lucknow Super Giants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,27,14.25
Digvesh Singh,5,Bowler,Lucknow Super Giants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.28571,0,17.5999985
Shahbaz Ahmed,7,All-rounder,Lucknow Super Giants,37,536,440,28,25,19.14,121.8181818,48.88059701,42,537,837,21,39.86,9.35,25.57,35,18,40,29.55
Akash Singh,6,Bowler,Lucknow Super Giants,0,0,0,0,0,0,0,0,7,138,227,5,45.4,9.87,27.6,22.85714286,0,0,12.57142857
Shamar Joseph,6.5,Bowler,Lucknow Super Giants,0,0,0,0,0,0,0,0,1,24,47,0,0,11.75,0,75,0,25,43.75
